20160215113414 Cannot connect to COM1 at 9600
20160215113414 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215113459 CMP started 
20160215113503 CMP stopped 
20160215113514 AUTOLOG! status: ready, low: 0, hi: , step: , ifm: None, lvl: None, obs: 
20160215113614 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215113714 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215113814 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215113914 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114014 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114114 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114214 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114314 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114414 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: 
20160215114515 AUTOLOG! status: ready, low: 0, hi: 3000, step: 5, ifm: None, lvl: None, obs: K
20160215114615 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215114715 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215114815 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215114915 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115015 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115115 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115215 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115315 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115415 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115515 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115615 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115715 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115815 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215115915 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215120015 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215120115 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215120215 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215120315 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215120415 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
